movie_id,genre
359108,Drama
221801,Drama
659161,
746042,TV Movie
746042,Romance
64499,Drama
584583,Drama
584583,Thriller
416874,
590215,Romance
78320,Crime
78320,Comedy
477997,Thriller
16802,Drama
16802,Romance
501577,Drama
718166,Documentary
212849,Documentary
724427,Horror
724427,Mystery
724427,Thriller
55681,Comedy
55681,Horror
574954,Drama
35125,Romance
35125,Drama
35125,Comedy
63333,Thriller
63333,Science Fiction
47462,Comedy
47462,Romance
399417,Romance
399417,Comedy
399417,Drama
81707,Drama
776586,Drama
776586,Romance
213612,Comedy
213612,Action
213612,Romance
103514,Drama
103514,Thriller
620629,Drama
620629,Comedy
620629,Music
620629,TV Movie
608232,Drama
821390,Horror
821390,Thriller
35065,Comedy
35065,Drama
21194,Comedy
21194,Drama
400933,Documentary
26901,Drama
26901,Horror
26901,Comedy
179246,Drama
179246,Romance
179246,Thriller
460100,Drama
460100,Romance
81021,Comedy
81021,Music
487624,Drama
487624,Romance
728102,Drama
70439,Drama
465646,Fantasy
465646,Romance
465646,Drama
465646,Horror
465646,Comedy
465646,Animation
919345,Thriller
19965,Drama
502135,Documentary
133575,Drama
133575,Romance
133575,Comedy
86549,Drama
696157,Drama
696157,History
584457,Romance
584457,Drama
338537,Drama
338537,Horror
459243,Romance
459243,Drama
343807,Drama
343807,Romance
130712,Music
130712,Drama
130712,War
641934,Drama
641934,Comedy
449496,Crime
449496,Action
204477,Romance
204477,TV Movie
204477,Drama
337412,Comedy
337412,Romance
47643,Drama
47643,Fantasy
47643,Romance
511008,Animation
511008,Romance
511008,Music
718915,Drama
662541,Comedy
662541,Romance
27614,Comedy
648987,Romance
648987,Drama
96394,War
96394,Drama
87380,Drama
87380,Thriller
588217,
47358,Drama
47358,Romance
51764,Comedy
51764,Romance
27091,Drama
27091,Romance
787453,Documentary
84312,Drama
40950,Drama
40950,Comedy
40950,TV Movie
233226,Thriller
233226,Mystery
382725,Horror
325496,Drama
325496,Romance
325496,TV Movie
209108,Romance
209108,Drama
326807,Thriller
326807,Comedy
326807,Mystery
27092,Romance
27092,Crime
663300,Romance
502220,Drama
539504,Drama
355884,Drama
355884,Horror
190967,Comedy
55957,Drama
347870,Comedy
233833,Comedy
233833,Horror
287855,Drama
467467,Romance
467467,Drama
732488,Drama
732488,Romance
732488,Comedy
41636,Drama
41636,Romance
36799,Drama
36799,Romance
256103,Drama
127894,Comedy
127894,Romance
12527,Comedy
12527,Drama
140208,Drama
140208,Romance
168718,Documentary
49618,Crime
49618,Drama
27283,Drama
27283,Romance
55854,Comedy
55854,Drama
17539,Comedy
17539,Romance
28733,Horror
81471,Drama
81471,Thriller
81471,Horror
518801,Documentary
518801,History
53117,Comedy
53117,Drama
255593,Drama
255593,Mystery
74342,Drama
83728,Drama
83728,History
77583,Comedy
77583,Romance
617299,Drama
43088,Drama
43088,Romance
730585,Comedy
560961,Documentary
95757,Science Fiction
95757,Thriller
151693,Drama
178516,Comedy
178516,Action
178516,Romance
60750,Comedy
60750,Romance
49956,Drama
50091,Drama
50091,Romance
179387,Drama
179387,Romance
123864,Romance
123864,Comedy
123864,Drama
77332,Drama
631385,Drama
631385,Romance
577093,Documentary
927872,Drama
534594,Music
534594,Comedy
534594,Family
31551,History
31551,Drama
31551,Romance
28085,Thriller
28085,Drama
442712,Documentary
287322,Drama
41189,Drama
56295,Drama
56295,Romance
9653,Drama
12812,Drama
14974,Comedy
14974,Drama
14974,Romance
